Days_Off,Name,Yr,Age,gs_MIN,cs_MIN,FGA,gs_TS,cs_TS,gs_ORB,cs_ORB,gs_DRB,cs_DRB,gs_TRB,cs_TRB,gs_AST,cs_AST,gs_STL,cs_STL,gs_BLK,cs_BLK,gs_TOV,cs_TOV,Games
2,Mark Aguirre,1986,26,29,345,13,42.4,51.8,6.1,6.9,23.6,16.8,12.1,11.8,13.6,26.8,1.6,1.3,0,0,26.6,8.8,10
2,Charles Barkley,1986,22,46,497,19,62.7,63.1,14.6,14.2,52.2,29,29.4,21.8,18.7,21,6,2.7,2.6,1.8,13.9,21.5,12
2,John Battle,1986,23,13,27,5,40,43.1,0,0,0,16.3,0,8.2,0,10.1,3.8,3.6,0,0,28.6,19,6
2,Uwe Blab,1986,23,6,6,3,66.7,66.7,0,0,28.6,19.4,9.8,9.6,0,0,0,0,0,0,0,0,1
2,Rolando Blackman,1986,26,27,371,14,38.1,54.6,6.6,4.6,0,6.3,4.3,5.4,10.4,13,3.5,1.1,0,0.2,0,9.5,10
2,Randy Breuer,1986,25,30,318,10,52.7,57.4,2.8,7.3,16.8,14.9,8.3,11.1,0,4.7,1.5,1.7,3.6,3.5,8.7,11.2,14
2,Terry Catledge,1986,22,27,293,15,33.3,42.6,24.8,14.9,19,14.5,22.5,14.7,0,2.5,0,1,0,1.6,16.7,9.5,11
2,Maurice Cheeks,1986,29,41,519,18,65.4,58.4,5.4,3,8.4,9.3,6.6,6.2,24.7,24.4,1.1,1.2,0,0.3,12.7,13,12
2,Wayne Cooper,1986,29,13,154,1,100,48,8.4,6.9,19.4,20.7,13.5,13.4,0,6.2,3.6,0.6,0,1.8,0,14.3,8
2,Terry Cummings,1986,24,23,510,13,27.9,54.1,18,7.5,33,24.4,23.9,15.9,21.1,13.2,0,1.9,2.3,1.9,21.8,12.2,14
2,Brad Davis,1986,30,14,163,3,33.3,70.6,0,0.7,24.5,12.8,8.4,6.7,34.7,19.1,0,0.9,0,0,25,21.6,10
2,Charles Davis,1986,27,25,145,12,43.6,44.9,13.2,7.2,15.2,13.1,14,10.1,6.8,5.7,0,1.3,0,0,12.7,15.2,12
2,Johnny Davis,1986,30,7,65,4,25,41.1,12,3.4,0,6.8,7.1,5.1,64,30.9,7,1.5,0,0,20,15.7,8
2,James Donaldson,1986,28,40,410,5,90.4,83.1,11.1,8.3,21.4,24.7,14.6,16.4,0,3,0,0.7,1.5,1.6,9.6,13.2,10
2,T.R. Dunn,1986,30,30,276,5,60,47,3.6,7.7,16.8,12.3,9.8,9.9,0,5.8,4.7,2.7,0,0,28.6,5.4,10
2,Craig Ehlo,1986,24,4,38,1,0,54.9,0,2.8,0,5.6,0,4.2,0,22.4,0,5.1,0,1.5,0,14.2,10
5,Craig Ehlo,1986,24,4,38,1,100,54.9,0,2.8,0,5.6,0,4.2,36.4,22.4,11.9,5.1,15,1.5,0,14.2,10
2,Dale Ellis,1986,25,17,67,7,96.2,62,5.2,5.1,20.2,6.9,10.3,6,9.8,4,5.6,1.5,0,1.7,19.4,14.2,7
2,Alex English,1986,32,38,394,23,60.1,52.5,8.6,4.4,6.6,4.7,7.7,4.6,33.6,21.4,0,0.5,0,0.6,0,9.7,10
2,Julius Erving,1986,35,35,433,13,53.1,50.8,3.2,7.1,4.9,11.4,3.9,9.3,11.3,17.4,1.3,1.2,0,2.2,15,15.8,12
2,Mike Evans,1986,30,23,204,9,83.3,48.3,0,2.8,11,7.5,5.1,5,22.9,16.6,4.1,2.3,0,0.8,10,12,10
2,Kenny Fields,1986,23,24,158,11,68.2,56.2,0,5.2,15.8,15.8,6.3,10.4,30,10,3.8,2.4,0,0,7,16.8,12
2,Mike Glenn,1986,30,19,114,5,40,43.6,0,3.1,13.3,8.3,5.3,5.7,8.2,9.2,0,0.4,0,0,0,10.8,10
2,Derek Harper,1986,24,34,348,12,62.5,58.8,2.6,4.2,0,2,1.7,3.1,38.4,30.2,2.8,3.3,0,0,7.7,16.8,10
2,Steve Harris,1986,22,1,83,0,0,48.1,0,6.5,0,6.5,0,6.5,0,3.2,0,2.3,0,2.1,,6,15
5,Steve Harris,1986,22,2,83,1,0,48.1,0,6.5,0,6.5,0,6.5,0,3.2,23.8,2.3,30,2.1,0,6,15
2,Scott Hastings,1986,25,12,49,5,79.1,74.3,14,6.8,20.5,15.7,16.7,11.2,0,6.2,8.2,2,0,0,24,21,9
2,Craig Hodges,1986,25,33,460,10,57.4,59.1,2.5,2.3,0,4.1,1.5,3.2,14.5,19.1,0,3.3,0,0.3,0,13,14
2,Clemon Johnson,1986,29,25,303,3,49.3,57.8,4.5,8.9,6.9,13.7,5.4,11.4,4.4,3.5,0,1.8,2.4,3,0,13.5,12
2,Bobby Jones,1986,34,20,329,5,40,60.4,0,3.2,17.1,7.8,6.8,5.6,11.7,14.1,2.3,1.5,0,2.5,0,13.5,12
2,Jon Koncak,1986,22,15,193,4,51.2,54.8,5.6,6.3,8.2,13.1,6.7,9.7,0,3.2,0,1.5,3.8,2.9,0,12.4,9
2,Allen Leavell,1986,28,17,170,11,50.5,41.6,7.1,1.9,7.8,7.6,7.4,4.7,26.7,30.3,2.8,2.6,0,0,7.8,9.1,15
5,Allen Leavell,1986,28,9,170,6,58.1,41.6,0,1.9,0,7.6,0,4.7,18.4,30.3,5.3,2.6,0,0,12.7,9.1,15
2,Fat Lever,1986,25,30,347,11,36.4,50.5,0,4.2,12.6,10.4,5.9,7.1,33.8,21.4,4.7,2.7,0,0.3,26.7,14,10
2,Cliff Levingston,1986,25,21,180,4,75.2,63.5,0,9.2,35.2,15.9,14.3,12.6,0,2.2,2.3,1.1,0,2.8,36.1,18,9
2,Alton Lister,1986,27,21,335,8,32.2,65,3.9,12.9,12,20.9,7.1,16.8,0,5.3,2.2,1,0,4,17.7,14,14
2,Lewis Lloyd,1986,26,22,589,7,28.6,52.7,0,6.2,6.1,5.8,2.9,6,22.6,20.3,0,1.3,2.7,0.6,36.4,15,20
5,Lewis Lloyd,1986,26,28,589,5,40,52.7,3.7,6.2,9.5,5.8,6.3,6,28.9,20.3,1.7,1.3,0,0.6,37.5,15,20
2,Rodney McCray,1986,24,36,835,10,40,56.9,0,3,18.5,12.2,8.8,7.6,10.6,19,1.3,1,0,1.3,16.7,14,20
5,Rodney McCray,1986,24,42,835,14,69.3,56.9,0,3,3.2,12.2,1.4,7.6,10.2,19,2.3,1,0,1.3,17.2,14,20
5,Hank McDowell,1986,26,2,33,1,26.6,42.8,52.2,13,66.7,13,58.5,13,0,7.1,0,0,0,0,0,16,13
2,Paul Mokeski,1986,29,4,101,0,0,54.9,0,5.8,0,22.3,0,14,0,10.7,0,2.9,0,1.8,,18.4,14
2,Calvin Natt,1986,29,36,293,24,56.3,53.3,6.1,5.6,17.5,23.2,11.4,13.9,21.1,14.5,0,0.3,1.4,0.6,3.9,11.6,10
2,Hakeem Olajuwon,1986,23,45,766,14,71,56.6,21.3,14.2,23.7,18.9,22.5,16.5,9.9,7.8,2.1,2.5,5.3,5.2,13.2,8.3,20
5,Hakeem Olajuwon,1986,23,38,766,23,61.2,56.6,19.2,14.2,17.5,18.9,18.5,16.5,9.2,7.8,1.3,2.5,4.7,5.2,6.9,8.3,20
2,Sam Perkins,1986,24,32,347,17,23.5,49,11.1,9.8,26.8,17.8,16.5,13.7,12.2,9.6,1.5,1.3,3.8,2.3,0,9.5,10
2,Jim Petersen,1986,23,12,378,1,106.4,45.3,10,13.4,44.4,18.1,26.3,15.7,10.3,6.9,0,1.2,0,1.4,0,11.6,20
5,Jim Petersen,1986,23,28,378,9,44.4,45.3,0,13.4,19,18.1,8.4,15.7,4.5,6.9,1.7,1.2,2.1,1.4,10,11.6,20
2,Ricky Pierce,1986,26,21,322,12,26.3,54.2,3.9,7.2,6,5.9,4.8,6.6,14.5,8.7,2.2,1.2,0,0.6,0,10.1,13
2,Paul Pressey,1986,27,26,530,9,42.4,57.5,3.2,4.2,4.9,9.2,3.8,6.7,12.1,28.3,0,1.6,4.1,1.5,17.5,20.3,14
2,Blair Rasmussen,1986,23,16,175,11,58.7,48.7,13.6,14.9,0,20.7,7.3,17.6,9.7,8.6,0,1.3,0,2.8,6.8,5.8,10
2,Robert Reid,1986,30,38,773,12,33.3,47.5,6.3,1.8,7,9.7,6.6,5.8,26.6,23.4,1.2,1.7,0,0.1,20,11.8,20
5,Robert Reid,1986,30,40,773,15,50.4,47.5,2.6,1.8,13.3,9.7,7.3,5.8,26.2,23.4,1.2,1.7,0,0.1,5.9,11.8,20
2,Jerry Reynolds,1986,23,14,40,6,46.3,45.8,5.9,8.7,27.1,17.8,14.3,13.2,23.5,14.3,3.3,4.8,7.6,4.6,10.4,15.5,7
2,Doc Rivers,1986,24,27,262,11,25.3,51.6,6.2,4.2,4.6,13.4,5.6,8.8,20.1,40.7,3.7,3.3,0,0,7.8,19.1,9
2,Tree Rollins,1986,30,28,248,7,69.8,56.9,3,8,26.4,26.6,12.5,17.3,0,1.6,0,0.4,4.1,3.4,11.3,18.8,9
2,Ralph Sampson,1986,25,39,741,15,55.2,56.5,3.1,9.6,17.1,21.5,9.7,15.6,7.4,15.3,1.2,2,4.6,2.7,22.5,16.7,20
5,Ralph Sampson,1986,25,27,741,13,7.7,56.5,7.7,9.6,24.7,21.5,15.2,15.6,8.2,15.3,3.5,2,2.2,2.7,23.5,16.7,20
2,Danny Schayes,1986,26,38,295,4,82,58.5,11.5,11.2,10,17.9,10.8,14.3,2.8,4.2,0,0.6,1.3,3.1,45,17.5,10
2,Detlef Schrempf,1986,23,18,120,6,58,52.1,0,6.6,9.5,15.5,3.3,11,33,15,2.6,0.8,0,0.5,0,22,10
2,Sedale Threatt,1986,24,30,312,12,68.9,50.8,0,2.3,5.7,6.8,2.3,4.6,33.7,21.1,6.1,3.6,0,0.4,0,8.7,12
2,Elston Turner,1986,26,16,196,5,20,57.4,0,5.9,0,9.5,0,7.6,6.5,15.2,0,1.7,0,0,0,8,10
2,Jay Vincent,1986,26,20,204,14,52.7,46.5,17.8,8.3,8.6,13.7,14.6,11,8.4,10.5,2.4,1,0,0.3,5.5,13,10
5,Granville Waiters,1986,25,2,26,0,0,57.1,0,8.3,66.7,12.4,29.3,10.3,0,0,0,1.9,0,6.7,,12.5,11
2,Spud Webb,1986,22,19,183,10,18.4,57.6,8.9,3.6,13,15,10.5,9.3,37.2,54.2,0,1.1,0,0.3,8.4,9.5,9
2,Bill Wennington,1986,22,3,18,3,33.3,50.9,59.3,25.2,0,6.5,39,15.9,0,0,0,0,0,0,0,0,6
2,Mitchell Wiggins,1986,26,26,443,16,67.6,52,9.2,9.2,0,9.2,4.9,9.2,30.1,9.8,3.6,1.5,0,0.4,14.5,12.4,20
5,Mitchell Wiggins,1986,26,18,443,7,42.9,52,11.6,9.2,22.2,9.2,16.3,9.2,14.4,9.8,0,1.5,0,0.4,12.5,12.4,20
2,Dominique Wilkins,1986,26,36,360,15,37.8,51,7,6.1,10.3,10.4,8.3,8.3,15.8,11.1,0,1.2,1.6,0.3,10.4,10.6,9
2,Kevin Willis,1986,23,32,280,17,51.6,57.8,13.2,12.2,11.5,13.4,12.5,12.8,5.9,2.6,3.1,1.2,0,1.6,0,12.2,9
2,Randy Wittman,1986,26,30,348,14,35.7,54.6,2.8,1.3,12.3,6.3,6.7,3.8,5.2,12.7,0,1.4,0,0.2,6.7,8.2,9
2,Greg Stokes,1986,22,16,90,5,0,40,0,7.9,0,8.7,0,8.3,6.5,5.8,0,1.1,0,4,16.7,10.6,7
3,Danny Ainge,1987,27,32,762,6,91.7,58.1,0,2.1,10.2,5.9,5.7,4.1,15.4,16.7,1.5,1.6,0,0.3,33.3,13.9,20
2,Greg Ballard,1987,32,15,179,4,75,59.3,8,10.7,23.4,15,15.8,12.7,39.6,14.5,0,2.2,0,0,0,15.3,10
3,Larry Bird,1987,30,42,1015,25,59.8,57.7,6.5,5,13,21.6,10.1,13.6,23.6,24.5,1.1,1.3,0,1.1,0,11.6,23
2,Dudley Bradley,1987,29,8,46,4,50,37.9,0,0,0,0,0,0,22.2,5.4,0,3.2,0,0,20,7.8,12
2,Randy Breuer,1987,26,16,156,1,106.4,52.2,0,6.5,26.5,17.5,11,11.7,0,3.3,0,2.2,3.8,3.5,0,9.5,12
2,Joe Barry Carroll,1987,28,33,334,14,69.8,51,3.6,5.1,10.6,18,7.2,11.1,15.8,8.7,1.4,2,3.6,4.7,6,14.3,10
2,Tom Chambers,1987,27,40,498,17,66.8,52.5,0,6.6,8,14.4,3.2,10.1,5.4,10,0,1.2,1.9,1.7,8.7,10,14
2,Tom Chambers,1987,27,44,498,25,44.1,52.5,7.5,6.6,18.5,14.4,12.5,10.1,14.2,10,0,1.2,1.7,1.7,6.8,10,14
2,Terry Cummings,1987,25,35,443,22,54.9,53.1,14.3,7.3,28.2,18.5,20.1,12.6,0,9.7,2.6,1.3,1.7,1.8,10.5,5.6,12
6,Adrian Dantley,1987,30,38,500,17,45.3,60.4,7.3,6.5,3.8,8.7,5.9,7.6,8.1,10.3,1.3,1.3,0,0,13.8,11.5,15
4,Adrian Dantley,1987,30,35,500,11,53.8,60.4,13.4,6.5,3.6,8.7,8.7,7.6,15,10.3,0,1.3,0,0,10.7,11.5,15
3,Darren Daye,1987,26,14,240,4,65.8,65.7,9.8,5.7,15.6,10.1,13,8,0,7.7,0,1.9,3.6,0.7,27.3,16.9,23
6,Joe Dumars,1987,23,31,473,10,46,58.3,0,1.9,4.7,2.6,1.8,2.2,14.4,20.7,1.6,1.3,2.2,0.1,21.6,14.2,15
4,Joe Dumars,1987,23,34,473,8,76.7,58.3,0,1.9,11.1,2.6,5.4,2.2,20.2,20.7,0,1.3,0,0.1,8.3,14.2,15
2,Dale Ellis,1987,26,35,530,13,34.2,53.9,6.2,7.1,22.9,12.4,13,9.5,19,11.6,0,0.9,2.2,0.7,15.7,9.1,14
2,Dale Ellis,1987,26,38,530,25,63.5,53.9,2.9,7.1,17.9,12.4,9.6,9.5,15.8,11.6,1.3,0.9,0,0.7,3.6,9.1,14
2,Sleepy Floyd,1987,26,34,414,13,66.3,61.3,0,2.3,6.9,6.2,3.5,4.1,24.6,35.5,0,2.1,0,0.3,17.3,16.7,10
4,Sidney Green,1987,26,6,42,2,100,67.2,19.5,8,21.1,15.9,20.3,12,0,3.2,0,1.2,0,3,33.3,19.2,9
2,Jerome Henderson,1987,27,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,1
3,Conner Henry,1987,23,6,35,4,82,53.9,0,10.7,36.4,9.9,20.3,10.2,0,0,0,0,0,0,0,16.4,11
2,Rod Higgins,1987,27,27,177,12,41.7,43,4.4,3,17.3,11.1,11,6.8,13,8.7,3.5,3,2.2,2.1,0,3.8,10
2,Craig Hodges,1987,26,27,226,7,26.9,58,3.7,5.5,5.2,6,4.3,5.7,10,12.5,3.4,1.9,0,0.5,0,3.5,12
2,Clemon Johnson,1987,30,8,262,1,106.4,48.9,0,9.8,0,11.3,0,10.5,0,1.9,0,1.3,0,3.6,0,3.2,14
2,Clemon Johnson,1987,30,27,262,6,21.8,48.9,4.1,9.8,15.1,11.3,9,10.5,0,1.9,5.7,1.3,2.8,3.6,0,3.2,14
