Days_Off,Name,Yr,Age,gs_MIN,cs_MIN,FGA,gs_TS,cs_TS,gs_ORB,cs_ORB,gs_DRB,cs_DRB,gs_TRB,cs_TRB,gs_AST,cs_AST,gs_STL,cs_STL,gs_BLK,cs_BLK,gs_TOV,cs_TOV,Games
4,Steve Harris,1986,22,2,83,0,0,48.1,0,6.5,0,6.5,0,6.5,0,3.2,0,2.3,0,2.1,,6,15
4,Lewis Lloyd,1986,26,34,589,21,59.2,52.7,11.1,6.2,6.4,5.8,8.6,6,18.3,20.3,0,1.3,0,0.6,14.5,15,20
4,Rodney McCray,1986,24,41,835,8,65.8,56.9,3.1,3,10.6,12.2,7.1,7.6,19.5,19,0,1,0,1.3,0,14,20
4,Hank McDowell,1986,26,1,33,0,0,42.8,0,13,0,13,0,13,0,7.1,0,0,0,0,,16,13
4,Hakeem Olajuwon,1986,23,44,766,27,66.1,56.6,23,14.2,19.8,18.9,21.3,16.5,12.7,7.8,6.4,2.5,6.4,5.2,9.4,8.3,20
4,Jim Petersen,1986,23,11,378,2,0,45.3,0,13.4,9.9,18.1,5.3,15.7,0,6.9,0,1.2,0,1.4,50,11.6,20
4,Robert Reid,1986,30,44,773,16,46.2,47.5,0,1.8,12.4,9.7,6.7,5.8,21.2,23.4,0,1.7,0,0.1,5.5,11.8,20
4,Ralph Sampson,1986,25,41,741,19,50.3,56.5,6.2,9.6,23.9,21.5,15.7,15.6,10.8,15.3,2.3,2,1.4,2.7,23.2,16.7,20
4,Granville Waiters,1986,25,1,26,0,0,57.1,0,8.3,0,12.4,0,10.3,0,0,0,1.9,0,6.7,,12.5,11
4,Mitchell Wiggins,1986,26,20,443,6,72.7,52,18.9,9.2,10.9,9.2,14.6,9.2,21.6,9.8,2.4,1.5,2.8,0.4,0,12.4,20
5,Danny Ainge,1986,26,39,652,10,85,63.8,6.3,4.1,6.5,8.5,6.4,6.5,14.4,19.3,6.3,3.1,0,0.1,23.1,12.4,18
5,Larry Bird,1986,29,33,770,17,47.1,61.5,7.5,5.3,25.5,18,18.2,12.1,27,28.1,1.5,2.3,1.6,0.8,0,11,18
5,Rick Carlisle,1986,26,7,54,2,39.9,56.7,17.6,6.7,0,3.8,7.1,5.1,0,19.6,7,1.8,0,0,21,15.2,10
5,Dennis Johnson,1986,31,35,715,13,57.6,51.6,0,3.9,9.6,7.6,5.7,5.9,55.8,19.9,0,2.7,0,0.4,12.6,15.3,18
5,Greg Kite,1986,24,7,78,0,56.8,68.8,0,7.7,12,18.5,7.1,13.5,0,4.7,7,1.3,0,2.9,0,18.7,13
5,Kevin McHale,1986,28,36,715,14,68.5,63.6,6.8,8.6,14,15,11.1,12.1,16.7,10,0,0.5,1.5,3.4,10.2,12,18
5,Robert Parish,1986,32,34,591,12,62.1,51.1,7.2,10.6,19.8,18.5,14.7,14.9,8.3,5.8,0,0.7,1.6,2.8,13.4,14.3,18
5,Jerry Sichting,1986,29,12,274,2,0,44.5,0,2.2,0,4.1,0,3.2,0,18.1,0,0.9,0,0,33.3,11.1,18
5,David Thirdkill,1986,25,3,47,1,0,37.2,0,2.6,28.1,15.4,16.7,9.5,0,8.2,0,2.1,0,0,0,11.6,13
5,Sam Vincent,1986,22,3,41,2,50,35.9,0,2.9,0,15.1,0,9.5,0,17.2,0,2.4,0,0,33.3,11.5,9
5,Bill Walton,1986,33,16,291,7,42.9,61.6,0,10.4,26.3,27.7,15.6,19.7,25.7,12.9,0,1,3.3,2.3,36.4,17.6,16
5,Scott Wedman,1986,33,15,142,7,14.3,42.6,24.6,9.3,5.6,8,13.3,8.6,0,7.4,3.3,3.1,0,1.2,0,10.2,12
4,Kareem Abdul-Jabbar,1986,38,40,489,20,63.1,58.6,8.6,6.8,8.9,13.2,8.8,10.2,6.4,15,3.6,1.5,1.4,2.8,11.9,12,14
4,Michael Cooper,1986,29,35,421,6,87.2,56.7,4.9,4.8,5.1,8.1,5,6.5,26.5,18.8,1.4,2.1,0,0.5,30.4,14.9,14
4,A.C. Green,1986,22,4,106,0,0,52.5,0,3.6,0,13.9,0,9,0,0,0,0.5,0,1.6,,16,9
4,Petur Gudmundsson,1986,27,6,111,2,50,62.5,28.6,9.2,14.8,18.4,19.5,14,0,3.2,0,1.3,9.2,2.1,33.3,22.9,12
4,Magic Johnson,1986,26,31,541,10,68,59.9,0,4.9,20.1,16.5,13.2,11.1,50.8,49.7,3.1,2.4,0,0.1,14.5,15.1,14
4,Mitch Kupchak,1986,31,2,56,0,113.6,56.7,0,11.4,0,20.2,0,16.1,0,4.2,0,1.7,0,0,0,14.5,5
4,Maurice Lucas,1986,33,29,319,14,57.1,54.8,11.8,11.6,18.4,22,16.1,17.1,4.3,3.9,1.6,0.9,1.9,0.9,0,9.7,14
4,Mike McGee,1986,26,3,28,2,50,40.5,0,13.6,0,8.1,0,10.7,0,10.2,0,0,0,0,33.3,9.2,6
4,Kurt Rambis,1986,27,17,267,2,102.5,63.3,0,12.4,26.1,24.2,17.2,18.6,0,5.9,0,1.8,3.2,1.5,0,25.4,14
4,Byron Scott,1986,24,37,470,14,68.5,56.1,4.6,4.1,4.8,9.6,4.7,7,0,11.2,0,1.9,0,0.2,10.2,13.1,14
4,James Worthy,1986,24,36,539,15,68.6,57.6,0,5.2,14.8,9,9.8,7.2,20.7,10.9,0,1.4,0,1.1,19.3,13.2,14
7,Randy Breuer,1986,25,29,318,8,61.9,57.4,0,7.3,19.2,14.9,11.7,11.1,4,4.7,0,1.7,1.9,3.5,10.1,11.2,14
7,Terry Cummings,1986,24,34,510,16,61.7,54.1,0,7.5,23,24.4,13.9,15.9,7.9,13.2,1.3,1.9,3.2,1.9,21.2,12.2,14
7,Charles Davis,1986,27,10,145,3,0,44.9,17.1,7.2,22.3,13.1,20.3,10.1,0,5.7,0,1.3,0,0,25,15.2,12
7,Kenny Fields,1986,23,22,158,10,61.8,56.2,0,5.2,5.1,15.8,3.1,10.4,17.7,10,2.1,2.4,0,0,8.1,16.8,12
7,Mike Glenn,1986,30,18,114,5,20,43.6,0,3.1,0,8.3,0,5.7,5.6,9.2,0,0.4,0,0,28.6,10.8,10
7,Craig Hodges,1986,25,31,460,8,75,59.1,0,2.3,0,4.1,0,3.2,34.2,19.1,4.4,3.3,0,0.3,20,13,14
7,Alton Lister,1986,27,21,335,4,82.8,65,8.2,12.9,15.9,20.9,12.9,16.8,0,5.3,2.2,1,5.2,4,13.1,14,14
7,Paul Mokeski,1986,29,9,101,2,52.1,54.9,0,5.8,24.8,22.3,15,14,0,10.7,10.2,2.9,0,1.8,0,18.4,14
7,Ricky Pierce,1986,26,27,322,13,61.5,54.2,12.7,7.2,8.3,5.9,10,6.6,14.9,8.7,0,1.2,0,0.6,7.1,10.1,13
7,Paul Pressey,1986,27,38,530,13,69.8,57.5,0,4.2,14.7,9.2,8.9,6.7,42.5,28.3,0,1.6,0,1.5,29.5,20.3,14
7,Jerry Reynolds,1986,23,1,40,0,0,45.8,0,8.7,0,17.8,0,13.2,0,14.3,0,4.8,0,4.6,,15.5,7
2,Kareem Abdul-Jabbar,1986,38,35,489,23,60.5,58.6,7.6,6.8,13.7,13.2,10.8,10.2,14.6,15,1.3,1.5,5.1,2.8,7.2,12,14
2,Michael Cooper,1986,29,27,421,7,57.1,56.7,0,4.8,8.9,8.1,4.7,6.5,17.5,18.8,1.7,2.1,0,0.5,20.2,14.9,14
2,Petur Gudmundsson,1986,27,12,111,4,50,62.5,22.2,9.2,10,18.4,15.8,14,0,3.2,0,1.3,0,2.1,20,22.9,12
2,Magic Johnson,1986,26,41,541,15,62.7,59.9,3.3,4.9,17.6,16.5,10.8,11.1,59.4,49.7,3.4,2.4,0,0.1,16.2,15.1,14
2,Maurice Lucas,1986,33,24,319,8,61.9,54.8,16.7,11.6,20,22,18.4,17.1,0,3.9,0,0.9,2.5,0.9,0,9.7,14
2,Kurt Rambis,1986,27,22,267,4,82,63.3,6.1,12.4,10.9,24.2,8.6,18.6,0,5.9,2.1,1.8,0,1.5,29.1,25.4,14
2,Byron Scott,1986,24,41,470,13,57.5,56.1,3.3,4.1,14.6,9.6,9.2,7,12,11.2,2.3,1.9,1.4,0.2,16.1,13.1,14
2,James Worthy,1986,24,38,539,13,41.9,57.6,0,5.2,3.2,9,1.7,7.2,12.7,10.9,3.7,1.4,0,1.1,12.3,13.2,14
7,Danny Ainge,1986,26,27,652,6,38.7,63.8,14,4.1,21.5,8.5,18.5,6.5,23.8,19.3,0,3.1,0,0.1,0,12.4,18
7,Larry Bird,1986,29,32,770,15,71.9,61.5,3.9,5.3,12.9,18,9.4,12.1,18.5,28.1,1.4,2.3,0,0.8,14.2,11,18
7,Rick Carlisle,1986,26,11,54,6,50,56.7,11.5,6.7,0,3.8,4.5,5.1,10.7,19.6,4.2,1.8,0,0,0,15.2,10
7,Dennis Johnson,1986,31,34,715,11,63.6,51.6,7.4,3.9,0,7.6,2.9,5.9,22.4,19.9,2.7,2.7,0,0.4,21.4,15.3,18
7,Greg Kite,1986,24,17,78,5,80,68.8,14.9,7.7,19.5,18.5,17.6,13.5,0,4.7,0,1.3,9.6,2.9,16.7,18.7,13
7,Kevin McHale,1986,28,28,715,11,74.3,63.6,0,8.6,14.8,15,8.9,12.1,4.3,10,1.6,0.5,9.7,3.4,14.9,12,18
