PlayerID,Year,Age,Games,Minutes,TRS,ORB,DRB,TRB,AST,STL,BLK,TOV
1,1991,22,5,13,0.333,8.8,18.9,13.7,0,0,0,0
1,1992,23,8,25,0.51,0,19.4,9.8,12.9,0,0,14.5
1,1993,24,4,68,0.458,3.7,20.6,12.1,2.2,0,0.9,27.3
2,1986,38,14,489,0.586,6.8,13.2,10.2,15,1.5,2.8,12
2,1987,39,18,559,0.6,8.7,15.3,12.3,9.1,0.7,3.5,12.2
2,1988,40,24,718,0.504,8.4,12.9,10.8,7.7,1.1,3.1,12.1
2,1989,41,15,351,0.503,4.6,14.1,9.7,8.5,0.7,1.9,11.7
3,1994,24,12,339,0.462,1.1,5,3.1,18,0.8,0.2,7.7
3,1995,25,3,76,0.511,3,5.1,4,12.3,1.4,0,17
4,1999,24,5,99,0.537,6.9,15.7,11.2,8.1,2.2,2.8,7
4,2003,28,8,79,0.373,15.2,15.4,15.3,13,0,0,2.9
5,1988,25,17,158,0.545,10.9,16.7,13.8,1.8,0.3,0.4,15
5,1989,26,2,2,0,0,57.6,29,0,0,0,0
6,1987,24,3,82,0.361,0,9.6,4.4,19.1,4.1,0,16
6,1988,25,11,406,0.496,2.2,7.7,4.8,20.8,2.1,0.3,13.4
6,1989,26,2,75,0.595,6.2,16.8,11.2,17.1,1.8,0,16.8
6,1990,27,3,105,0.52,0,6,2.8,22,1.7,0,17.6
6,1995,32,1,11,0.4,0,12.6,5.9,39.7,0,0,0
7,2014,20,18,331,0.635,8,16.9,12.7,1.9,0.2,5.4,15.4
8,2008,22,12,84,0.389,0,7.6,3.8,11.5,2.7,0,5.3
8,2009,23,4,66,0.539,1.9,4.1,3,3,0,2.8,11.5
8,2010,24,6,120,0.746,1,11.5,6.1,9.5,0.4,1.3,9.8
8,2011,25,3,85,0.453,0,11.8,5.9,15.3,0,0,7.4
8,2012,26,7,229,0.471,2.2,8.7,5.5,12.4,1.2,0.6,10
8,2015,29,3,60,0.201,0,12.8,6.3,5,0,0,19.4
9,1986,26,10,345,0.518,6.9,16.8,11.8,26.8,1.3,0,8.8
9,1987,27,4,130,0.565,9,10.4,9.7,9.1,2.9,0,10.7
9,1988,28,17,558,0.553,6.8,13.1,10,15.9,1.3,1,11
9,1989,29,17,462,0.538,6.6,12.5,9.5,10.2,0.9,0.5,9.1
9,1990,30,20,439,0.529,8.3,15.7,12,10.2,1.2,0.5,12.7
9,1991,31,15,397,0.584,4.5,12.8,8.5,12.8,1.6,0.2,9.1
9,1992,32,5,113,0.409,4.3,4.9,4.6,21.1,1,0.6,19.1
10,1986,26,18,652,0.638,4.1,8.5,6.5,19.3,3.1,0.1,12.4
10,1987,27,20,762,0.581,2.1,5.9,4.1,16.7,1.6,0.3,13.9
10,1988,28,17,670,0.489,2.8,6.8,4.8,24.3,0.7,0.1,16.8
10,1991,31,16,277,0.546,0.4,12,6,17.5,2.2,1,17
10,1992,32,21,449,0.585,2.2,8.6,5.4,17,1.7,0.2,11.6
10,1993,33,24,591,0.521,4.1,7.6,5.9,13.8,1.1,0.2,10.5
10,1994,34,10,230,0.63,3.2,8.3,5.6,12.9,1.3,0.3,6.8
10,1995,35,10,137,0.7,1.7,6.6,4.2,10.9,1.9,0,12.3
11,2012,23,5,25,0.465,24.4,37.7,31.1,0,0,0,0
12,2009,23,6,237,0.519,4.4,20.9,11.9,7,0.7,3.6,8.1
12,2010,24,6,229,0.507,5.1,14.6,9.7,11.1,1.7,4.4,8.9
12,2011,25,6,258,0.498,7.9,13.5,10.8,6.4,1.8,3.5,6.7
12,2014,28,11,441,0.509,7.5,21.2,14.4,7,0.8,3,6.3
12,2015,29,5,208,0.426,10.8,18.4,14.6,8.4,0.5,3.8,5.9
13,1996,22,9,70,0.48,7.1,8.4,7.8,22.2,1.6,0,18.1
14,1988,23,4,12,0.375,9.3,9.3,9.3,25.9,0,0,11.1
14,1989,24,6,52,0.526,3.9,3.7,3.8,13.4,1.8,0,4
14,1990,25,3,42,0.569,2.8,5,3.9,31.3,1.2,0,12.9
15,2012,22,12,236,0.566,9.5,19.1,14.1,2.4,2.3,3.5,7
15,2014,24,4,15,0.5,8.2,31.5,20.1,11.8,0,0,0
16,2004,25,10,138,0.472,10,15,12.5,6.1,0.8,5.6,7
16,2006,27,6,116,0.46,5.1,12.9,9,10.3,0.9,4.5,24.7
16,2007,28,5,34,0.167,13.9,10.2,12,4.8,1.6,2.4,20
16,2008,29,3,18,0,0,0,0,0,0,0,0
16,2010,31,4,11,0,21.8,11.4,16.7,0,4.5,0,0
16,2011,32,1,7,0.266,0,17.2,8.5,0,0,0,0
17,1999,23,3,120,0.635,8.1,14,11.1,22.7,1.4,0.8,17.3
17,2000,24,5,186,0.552,6.5,13.3,10.1,12.2,2.3,0,8.3
17,2001,25,18,768,0.613,2.8,7.4,5.2,27.1,1.7,0.9,10.4
17,2005,29,11,436,0.599,3.5,9.7,6.6,19.5,1.7,0.7,12.3
17,2008,32,26,987,0.576,3.2,9.2,6.2,12.7,1.4,0.7,9.8
