GameID,PlayerID,Team,Min,FGA,TS,ORB,DRB,TRB,AST,STL,BLK,TOV
1,185,DEN,13:00,1,100,8.4,19.4,13.5,0,3.6,0,0
1,244,DEN,30:00,5,60,3.6,16.8,9.8,0,4.7,0,28.6
1,251,HOU,1:00,0,0,0,0,0,0,0,0,
1,260,DEN,38:00,23,60.1,8.6,6.6,7.7,33.6,0,0,0
1,264,DEN,23:00,9,83.3,0,11,5.1,22.9,4.1,0,10
1,350,HOU,2:00,0,0,0,0,0,0,0,0,
1,487,DEN,30:00,11,36.4,0,12.6,5.9,33.8,4.7,0,26.7
1,498,HOU,34:00,21,59.2,11.1,6.4,8.6,18.3,0,0,14.5
1,542,HOU,41:00,8,65.8,3.1,10.6,7.1,19.5,0,0,0
1,545,HOU,1:00,0,0,0,0,0,0,0,0,
1,599,DEN,36:00,24,56.3,6.1,17.5,11.4,21.1,0,1.4,3.9
1,614,HOU,44:00,27,66.1,23,19.8,21.3,12.7,6.4,6.4,9.4
1,644,HOU,11:00,2,0,0,9.9,5.3,0,0,0,50
1,676,DEN,16:00,11,58.7,13.6,0,7.3,9.7,0,0,6.8
1,682,HOU,44:00,16,46.2,0,12.4,6.7,21.2,0,0,5.5
1,720,HOU,41:00,19,50.3,6.2,23.9,15.7,10.8,2.3,1.4,23.2
1,723,DEN,38:00,4,82,11.5,10,10.8,2.8,0,1.3,45
1,813,DEN,16:00,5,20,0,0,0,6.5,0,0,0
1,831,HOU,1:00,0,0,0,0,0,0,0,0,
1,860,HOU,20:00,6,72.7,18.9,10.9,14.6,21.6,2.4,2.8,0
2,10,BOS,39:00,10,85,6.3,6.5,6.4,14.4,6.3,0,23.1
2,68,ATL,13:00,5,40,0,0,0,0,3.8,0,28.6
2,88,BOS,33:00,17,47.1,7.5,25.5,18.2,27,1.5,1.6,0
2,156,BOS,7:00,2,39.9,17.6,0,7.1,0,7,0,21
2,213,ATL,7:00,4,25,12,0,7.1,64,7,0,20
2,355,ATL,12:00,5,79.1,14,20.5,16.7,0,8.2,0,24
2,423,BOS,35:00,13,57.6,0,9.6,5.7,55.8,0,0,12.6
2,459,BOS,7:00,0,56.8,0,12,7.1,0,7,0,0
2,466,ATL,15:00,4,51.2,5.6,8.2,6.7,0,0,3.8,0
2,488,ATL,21:00,4,75.2,0,35.2,14.3,0,2.3,0,36.1
2,549,BOS,36:00,14,68.5,6.8,14,11.1,16.7,0,1.5,10.2
2,627,BOS,34:00,12,62.1,7.2,19.8,14.7,8.3,0,1.6,13.4
2,691,ATL,27:00,11,25.3,6.2,4.6,5.6,20.1,3.7,0,7.8
2,702,ATL,28:00,7,69.8,3,26.4,12.5,0,0,4.1,11.3
2,738,BOS,12:00,2,0,0,0,0,0,0,0,33.3
2,787,BOS,3:00,1,0,0,28.1,16.7,0,0,0,0
2,826,BOS,3:00,2,50,0,0,0,0,0,0,33.3
2,839,BOS,16:00,7,42.9,0,26.3,15.6,25.7,0,3.3,36.4
