PlayerID,HTML,Name
1,abdelal01,Alaa Abdelnaby
2,abdulka01,Kareem Abdul-Jabbar
3,abdulma02,Mahmoud Abdul-Rauf
4,abdulta01,Tariq Abdul-Wahad
5,acresma01,Mark Acres
6,adamsmi01,Michael Adams
7,adamsst01,Steven Adams
8,afflaar01,Arron Afflalo
9,aguirma01,Mark Aguirre
10,aingeda01,Danny Ainge
11,aldrico01,Cole Aldrich
12,aldrila01,LaMarcus Aldridge
13,alexaco01,Cory Alexander
14,alforst01,Steve Alford
15,allenla01,Lavoy Allen
16,allenma01,Malik Allen
17,allenra02,Ray Allen
18,allento01,Tony Allen
19,alstora01,Rafer Alston
20,amundlo01,Louis Amundson
21,anderal01,Alan Anderson
22,anderch01,Chris Andersen
23,anderde01,Derek Anderson
24,andergr01,Greg Anderson
25,anderja01,James Anderson
26,anderke01,Kenny Anderson
27,anderni01,Nick Anderson
28,anderro01,Ron Anderson
29,anderry01,Ryan Anderson
30,andersh01,Shandon Anderson
31,anderwi01,Willie Anderson
32,anthoca01,Carmelo Anthony
33,anthogr01,Greg Anthony
34,anthojo01,Joel Anthony
35,araujra01,Rafael Araujo
36,arenagi01,Gilbert Arenas
37,arizatr01,Trevor Ariza
38,armstbj01,B.J. Armstrong
39,armstbr01,Brandon Armstrong
40,armstda01,Darrell Armstrong
41,arroyca01,Carlos Arroyo
42,artesro01,Metta World Peace
43,arthuda01,Darrell Arthur
44,asikom01,Omer Asik
45,askewvi01,Vincent Askew
46,askinke01,Keith Askins
47,atkinch01,Chucky Atkins
48,augmost01,Stacey Augmon
49,augusdj01,D.J. Augustin
50,austiis01,Isaac Austin
51,baglejo01,John Bagley
52,baileth01,Thurl Bailey
53,baileto01,Toby Bailey
54,bakervi01,Vin Baker
55,ballagr01,Greg Ballard
56,barbole01,Leandro Barbosa
57,bareajo01,Jose Barea
58,barklch01,Charles Barkley
59,barneha02,Harrison Barnes
60,barnema02,Matt Barnes
61,barroda01,Dana Barros
62,barrybr01,Brent Barry
63,barryjo01,Jon Barry
